0	8	8	160
1	9	9	190
2	10	10	210
3	11	11	240
4	12	12	260
5	13	13	290
6	14	13	310
7	15	14	320
8	16	14	340
9	16	15	350
10	17	16	370
11	17	16	380
12	18	17	400
13	18	18	410
14	19	18	420
15	19	19	430
16	20	20	440
17	21	20	450
18	21	21	460
19	22	22	470
20	22	23	480
21	23	23	490
22	24	24	500
23	24	24	510
24	25	25	520
25	25	26	530
26	26	26	540
27	26	27	540
28	27	27	550
29	28	28	560
30	28	28	570
31	29	29	570
32	29	29	580
33	30	30	590
34	31	31	600
35	31	31	610
36	32	32	620
37	32	33	630
38	33	33	640
39	34	34	650
40	34	35	670
41	35	36	680
42	35	37	700
43	36	38	710
44	36	38	730
45	37	XX	740
46	38	XX	740
47	38	XX	750
48	XX	XX	760
