0	8	8	160
1	9	9	190
2	10	10	210
3	11	11	240
4	12	12	270
5	14	13	290
6	15	14	320
7	16	14	340
8	16	15	360
9	17	15	370
10	18	16	390
11	18	16	400
12	19	17	420
13	19	18	430
14	20	18	440
15	20	19	460
16	21	20	470
17	21	20	480
18	22	21	490
19	22	21	500
20	23	22	510
21	23	23	520
22	24	24	530
23	24	24	540
24	25	25	550
25	26	25	560
26	26	26	570
27	27	27	580
28	27	27	580
29	28	28	590
30	28	28	600
31	29	29	610
32	29	29	620
33	30	30	630
34	30	30	640
35	31	31	650
36	31	32	670
37	32	32	680
38	32	33	690
39	33	34	710
40	34	35	720
41	34	36	730
42	35	37	730
43	36	37	740
44	37	38	740
45	37	XX	750
46	38	XX	750
47	38	XX	760
48	XX	XX	760
