0	10	10	200
1	10	10	200
2	10	10	210
3	10	11	220
4	11	11	230
5	12	12	250
6	13	13	270
7	13	14	280
8	14	14	300
9	15	15	310
10	16	16	320
11	16	16	340
12	17	17	350
13	17	17	360
14	18	18	370
15	18	18	380
16	19	18	390
17	19	19	400
18	20	19	410
19	20	20	420
20	21	20	430
21	21	21	440
22	22	21	450
23	22	22	460
24	23	23	470
25	23	23	480
26	24	24	490
27	24	24	500
28	25	25	500
29	25	25	510
30	26	26	520
31	26	27	520
32	27	27	530
33	28	28	540
34	28	29	540
35	29	29	550
36	29	30	560
37	30	31	570
38	30	31	580
39	31	32	580
40	31	33	590
41	31	34	600
42	32	36	610
43	32	38	610
44	33	40	620
45	33	XX	630
46	34	XX	640
47	35	XX	650
48	36	XX	660
49	36	XX	670
50	37	XX	680
51	39	XX	690
52	40	XX	700
53	XX	XX	710
54	XX	XX	730
55	XX	XX	750
56	XX	XX	770
57	XX	XX	790
58	XX	XX	800
